Node: 0, Time: +4s,10.1.1.25, 10.1.1.25,1,1
Node: 0, Time: +4s,10.1.1.26, 10.1.1.26,1,1
Node: 0, Time: +4s,10.1.1.29, 10.1.1.29,1,1
Node: 0, Time: +4s,10.1.1.31, 10.1.1.31,1,1
Node: 0, Time: +4s,10.1.1.33, 10.1.1.33,1,1
Node: 0, Time: +4s,10.1.1.49, 10.1.1.49,1,1
Node: 1, Time: +4s,10.1.1.3, 10.1.1.3,1,1
Node: 1, Time: +4s,10.1.1.10, 10.1.1.10,1,1
Node: 1, Time: +4s,10.1.1.12, 10.1.1.12,1,1
Node: 1, Time: +4s,10.1.1.24, 10.1.1.24,1,1
Node: 1, Time: +4s,10.1.1.32, 10.1.1.32,1,1
Node: 1, Time: +4s,10.1.1.37, 10.1.1.37,1,1
Node: 1, Time: +4s,10.1.1.44, 10.1.1.44,1,1
Node: 2, Time: +4s,10.1.1.2, 10.1.1.2,1,1
Node: 2, Time: +4s,10.1.1.10, 10.1.1.10,1,1
Node: 2, Time: +4s,10.1.1.12, 10.1.1.12,1,1
Node: 2, Time: +4s,10.1.1.24, 10.1.1.24,1,1
Node: 2, Time: +4s,10.1.1.30, 10.1.1.30,1,1
Node: 2, Time: +4s,10.1.1.32, 10.1.1.32,1,1
Node: 2, Time: +4s,10.1.1.37, 10.1.1.37,1,1
Node: 2, Time: +4s,10.1.1.44, 10.1.1.44,1,1
Node: 3, Time: +4s,10.1.1.14, 10.1.1.14,1,1
Node: 3, Time: +4s,10.1.1.23, 10.1.1.23,1,1
Node: 4, Time: +4s,10.1.1.7, 10.1.1.7,1,1
Node: 4, Time: +4s,10.1.1.13, 10.1.1.13,1,1
Node: 4, Time: +4s,10.1.1.18, 10.1.1.18,1,1
Node: 4, Time: +4s,10.1.1.21, 10.1.1.21,1,1
Node: 5, Time: +4s,10.1.1.7, 10.1.1.7,1,1
Node: 5, Time: +4s,10.1.1.9, 10.1.1.9,1,1
Node: 5, Time: +4s,10.1.1.13, 10.1.1.13,1,1
Node: 5, Time: +4s,10.1.1.21, 10.1.1.21,1,1
Node: 5, Time: +4s,10.1.1.46, 10.1.1.46,1,1
Node: 6, Time: +4s,10.1.1.5, 10.1.1.5,1,1
Node: 6, Time: +4s,10.1.1.6, 10.1.1.6,1,1
Node: 6, Time: +4s,10.1.1.9, 10.1.1.9,1,1
Node: 6, Time: +4s,10.1.1.13, 10.1.1.13,1,1
Node: 6, Time: +4s,10.1.1.18, 10.1.1.18,1,1
Node: 6, Time: +4s,10.1.1.21, 10.1.1.21,1,1
Node: 7, Time: +4s,10.1.1.20, 10.1.1.20,1,1
Node: 7, Time: +4s,10.1.1.28, 10.1.1.28,1,1
Node: 7, Time: +4s,10.1.1.35, 10.1.1.35,1,1
